Artista,Musica,Tempo,Data
Mc Davi,Bipolar,2158,2021-05-11 01:05
Mc Davi,Bipolar,3439,2021-05-11 01:05
Israel & Rodolffo,Batom de Cereja - Ao Vivo,3329,2021-05-11 01:05
Malu,Disco Arranhado - Funk Remix,7636,2021-05-11 01:06
Jorge & Mateus,Paradigmas,53274,2021-05-11 01:09
Raí Saia Rodada,Tapão Na Raba,175046,2021-05-11 01:09
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,6743,2021-05-11 01:10
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2508,2021-05-11 01:10
Wesley Safadão,"Ele É Ele, Eu Sou Eu",17574,2021-05-11 01:10
Mc Davi,Bipolar,619,2021-05-11 01:10
Israel & Rodolffo,Batom de Cereja - Ao Vivo,604,2021-05-11 01:10
Xand Avião,Não Pode Se Apaixonar,2477,2021-05-11 01:10
Fernando & Sorocaba,Só Não Divulga,6439,2021-05-11 01:10
Th CDM,Preta do Cabelo Cacheado,3132,2021-05-11 01:13
Mc Poze do Rodo,Vida Louca,155675,2021-05-11 01:13
DENNIS,Deixa de Onda (Porra Nenhuma),184999,2021-05-11 01:16
Matheus Fernandes,Baby Me Atende,25084,2021-05-11 01:16
Israel & Rodolffo,Só de Sacanagem - Ao Vivo,2690,2021-05-11 01:17
Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),5316,2021-05-11 01:17
Hugo & Guilherme,Coração Na Cama - Ao Vivo,2115,2021-05-11 01:17
Simone & Simaria,Foi Pá Pum,13329,2021-05-11 01:17
Jorge & Mateus,Lance Individual,10908,2021-05-11 01:17
Vitor Fernandes,Acaso,19209,2021-05-11 01:17
Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,16667,2021-05-11 01:18
Vitor Fernandes,Vou falar que não quero,2575,2021-05-11 01:18
Matheus & Kauan,É Problema,5081,2021-05-11 01:18
Zé Vaqueiro,Volta Comigo BB,4255,2021-05-11 01:18
Kawe,Mds,125142,2021-05-11 01:20
Bruno & Marrone,Último Beijo,18056,2021-05-11 01:23
Teto,M4,170000,2021-05-11 01:23
Tz da Coronel,Anota Placa,3923,2021-05-11 01:24
Marília Mendonça,Troca de Calçada,3266,2021-05-11 01:24
L7NNON,Freio da Blazer,180000,2021-05-11 01:27
DJ Matt D,Tipo Gringa,114143,2021-05-11 01:29
Kawe,Mds,132,2021-05-11 01:29
Teto,Paypal,4823,2021-05-11 01:29
KayBlack,A Cunhada,2713,2021-05-11 01:29
Filipe Ret,F* F* M*,2521,2021-05-11 01:29
KayBlack,A Cunhada,167937,2021-05-11 01:32
Kawe,Mds,60030,2021-05-11 01:33
Abbot,Hylander,4360,2021-05-12 16:32
Teto,M4,43348,2021-05-12 16:32
Teto,M4,0,2021-05-12 16:32
Abbot,Hylander,1313,2021-05-12 16:35
Teto,M4,386,2021-05-12 16:35
Teto,M4,169251,2021-05-12 16:35
Abbot,Hylander,12120,2021-05-12 16:36
MC Caverinha,Meu Corre,3800,2021-05-12 16:36
Jovem Dex,Fogo,2083,2021-05-12 16:36
Jovem Dex,Fogo,290,2021-05-12 16:36
Kawe,Mds,123428,2021-05-12 16:38
Jé Santiago,Tt,2922,2021-05-12 16:40
Jé Santiago,Tt,694,2021-05-12 16:40
Teto,M4,153580,2021-05-12 16:40
Matuê,Máquina do Tempo,1823,2021-05-12 16:41
Jé Santiago,Tt,11134,2021-05-12 16:41
KayBlack,Panamera,3322,2021-05-12 16:41
MC Cabelinho,OUTRO PATAMAR,3263,2021-05-12 16:41
UCLÃ,21,1660,2021-05-12 16:41
Matuê,Máquina do Tempo,62097,2021-05-12 16:45
Evanescence,Everybody's Fool,195880,2021-05-13 17:40
Lynyrd Skynyrd,Free Bird,11394,2021-05-13 17:43
Evanescence,Lithium,224106,2021-05-13 17:43
Evanescence,Bring Me To Life,235893,2021-05-13 17:47
Evanescence,Bring Me To Life,4432,2021-05-13 17:49
Evanescence,My Immortal,103699,2021-05-13 17:49
Evanescence,Going Under,214946,2021-05-13 17:53
Evanescence,Call Me When You're Sober,16681,2021-05-13 17:54
Teto,M4,30028,2021-05-13 17:58
Teto,M4,2717,2021-05-13 17:58
Teto,M4,319271,2021-05-13 18:06
Abbot,Hylander,8605,2021-05-13 18:07
Matuê,777-666,0,2021-05-13 18:07
Jovem Dex,Fogo,1970,2021-05-13 18:07
L7NNON,Freio da Blazer,6074,2021-05-13 18:09
Matuê,777-666,119946,2021-05-13 18:09
Matuê,777-666,56466,2021-05-13 18:10
SD9,40°.40,11635,2021-05-13 18:12
Matuê,777-666,5008,2021-05-13 18:12
Jovem Dex,Fogo,134738,2021-05-13 18:12
Thxuzz,Sosa Jr,8223,2021-05-13 18:13
SD9,40°.40,66006,2021-05-13 18:14
Sant,Ensaio Sobre a Lucidez,740,2021-05-13 18:14
Rashid,Diário de Bordo 6,15140,2021-05-13 18:14
Teto,Paypal,135213,2021-05-13 18:16
Rashid,Diário de Bordo 6,265763,2021-05-13 21:40
Mc Poze do Rodo,Vida Louca,1652,2021-05-13 21:40
Djonga,Xapralá,2278,2021-05-13 21:41
PAPATRACKS,Jogando pra Tropa (Papatracks #5),1346,2021-05-13 21:41
Filipe Ret,Não Desista Agora,1285,2021-05-13 21:41
Sant,OPRES,234960,2021-05-13 21:44
Salvador Da Rima,Porta Voz,2145,2021-05-13 21:45
Haikaiss,No Toque da Meca,6319,2021-05-13 21:45
Febem,ME PAGA (feat. Djonga),3535,2021-05-13 21:45
Sant,Ensaio Sobre a Lucidez,3169,2021-05-13 21:45
Pedro Lotto,Do Lixo ao Luxo,2569,2021-05-13 21:45
MC Cabelinho,OUTRO PATAMAR,1927,2021-05-13 21:45
Mac Júlia,Jogo Sujo,2273,2021-05-13 21:45
Teto,Paypal,1157,2021-05-13 21:45
LUDMILLA,Gato Siamês,1741,2021-05-13 21:45
Pineapple StormTv,Perfil #85: Nego Livre,6258,2021-05-13 21:45
Salvador Da Rima,19 Anos,3700,2021-05-13 21:45
Sest,Suíte 14 (feat. Djonga),5068,2021-05-13 21:45
Costa Gold,O Pai Tá On,2573,2021-05-13 21:45
Murica,Coral e Cascavel,130536,2021-05-13 21:48
MV Bill,Nóiz Mermo,271023,2021-05-13 21:52
MV Bill,Nossa Lei,8944,2021-05-13 21:53
BK,Filho do Fim do Mundo,31627,2021-05-13 21:54
Rashid,E Se,273320,2021-05-13 21:58
BK,Movimento,6153,2021-05-13 21:59
Kamau,Evolução na Locução,2839,2021-05-13 21:59
MOB79,Atleta do Ano - Remix,1313,2021-05-13 21:59
Sidoka,Importante,20995,2021-05-13 21:59
ConeCrewDiretoria,Doce Doce,2530,2021-05-13 21:59
Rashid,Coisas Dessa Vida,139020,2021-05-13 22:01
BK,Top Boys,193834,2021-05-13 22:05
ConeCrewDiretoria,Homenagem à liberdade,18191,2021-05-13 22:05
UCLÃ,Fiu Fiu,2819,2021-05-13 22:05
Edi Rock,That's My Way,2003,2021-05-13 22:05
Don L,Fazia Sentido,24586,2021-05-13 22:05
Teto,M4,475975,2021-05-14 12:39
MC Caverinha,Meu Corre,149364,2021-05-14 12:41
Jovem Dex,Fogo,118985,2021-05-14 12:43
KayBlack,Vivências,4261,2021-05-14 12:44
UCLÃ,Gatinha,3804,2021-05-14 12:44
KayBlack,Fio a Fio,53813,2021-05-14 12:44
Matuê,777-666,5770,2021-05-14 12:44
DJ Matt D,Set 2.0: Homenagem aos Relíquias,5863,2021-05-14 12:44
Tropa do Bruxo,Oclin e Evoque,3160,2021-05-14 12:44
Kawe,Brilho,4933,2021-05-14 12:48
Abbot,Hylander,3216,2021-05-14 12:48
Jovem Dex,Tapa,28108,2021-05-14 12:48
Yunk Vino,30 Dias,219848,2021-05-14 12:48
Orochi,Fiquei Rico Cedo,3704,2021-05-14 12:48
Jovem Dex,Chanel,3959,2021-05-14 12:49
Sidoka,Me Equivoquei,3406,2021-05-14 12:49
Salvador Da Rima,Vergonha pra Midia,5412,2021-05-14 12:49
NGC Daddy,Bendito,3913,2021-05-14 12:49
ConeCrewDiretoria,Sem planta,8289,2021-05-14 12:50
Kyan,Preto e Dinheiro,3192,2021-05-14 12:50
Racionais MC's,Estilo Cachorro,133240,2021-05-14 12:52
ADL,Favela Vive,349767,2021-05-14 12:58
Dexter,Eu Sô Função,2284,2021-05-14 12:58
BK,Castelos & Ruínas,249490,2021-05-14 13:02
Criolo,É o Teste,279720,2021-05-14 13:07
Sabotage,Canão Foi Tão Bom,1514,2021-05-14 13:08
MC Igu,223,34803,2021-05-14 13:08
Rincon Sapiência,Ponta de Lança (Verso Livre),2376,2021-05-14 13:08
Rashid,Bilhete 2.0 (feat. Luccas Carlos),2947,2021-05-14 13:08
Rappin' Hood,Rap du Bom Parte II - Mús. Incid.: Odara,1679,2021-05-14 13:08
Marcelo D2,Desabafo / Deixa Eu Dizer,1909,2021-05-14 13:09
Marcelo D2,Desabafo / Deixa Eu Dizer,1624,2021-05-14 13:09
Rodrigo Ogi,Profissão Perigo,78857,2021-05-14 13:09
Mc Marechal,Primeiro de Abril,5481,2021-05-14 13:09
Emicida,Triunfo (A Rua É Nóiz),1226,2021-05-14 13:09
Emicida,Triunfo (A Rua É Nóiz),209373,2021-05-14 13:13
Planet Hemp,Mantenha o Respeito,16622,2021-05-14 13:15
BK,Antes dos Gigantes Chegarem,3375,2021-05-14 13:15
Kawe,Mds,125142,2021-05-14 13:15
MC Igu,Bolso**,2385,2021-05-14 13:15
Ndee Naldinho,O 5° Vigia,1745,2021-05-14 13:16
Bruxo 021,Nota de 200,2458,2021-05-14 13:16
Sant,OPRES,9442,2021-05-14 13:16
Xis,Us Mano e as Mina,1224,2021-05-14 13:16
Sabotage,Respeito É pra Quem Tem,1459,2021-05-14 13:16
Criolo,Subirusdoistiozin,2592,2021-05-14 13:16
Rashid,Diário de Bordo 6,2992,2021-05-14 13:16
ConeCrewDiretoria,Chama os mulekes,2415,2021-05-14 13:16
Rappin' Hood,Zé Brasileiro,4578,2021-05-14 13:16
De Leve,Vai vendo,2646,2021-05-14 13:16
Nandx710,Meu Lado da História,8203,2021-05-14 13:16
Racionais MC's,Tempos Difíceis,2162,2021-05-14 13:17
Consciência Humana,Lei da Periferia,20655,2021-05-14 13:17
UCLÃ,21,9862,2021-05-14 13:17
slipmami,acha que a vida é um morango,1846,2021-05-14 13:20
Rincon Sapiência,Linhas de Soco,205048,2021-05-14 13:20
Kamau,Só,160212,2021-05-14 13:23
Dropallien,Alotrópico,1464,2021-05-14 13:23
Eloy Polemico,Ouro de Tolo,254214,2021-05-14 13:27
MV Bill,Nóiz Mermo,46924,2021-05-14 13:28
MV Bill,Nóiz Mermo,79581,2021-05-14 14:00
509-E,Uh Barato É Louco,2347,2021-05-14 14:00
RZO,"Pirituba, Pt. 1",1741,2021-05-14 14:18
Tz da Coronel,Anota Placa,4517,2021-05-15 23:49
Orochi,Lobo,5051,2021-05-15 23:49
L7NNON,Freio da Blazer,5027,2021-05-15 23:49
Jovem Dex,Money Rain,11678,2021-05-15 23:49
Mc Poze do Rodo,Vida Louca,4726,2021-05-15 23:49
DJ Matt D,Tipo Gringa,10885,2021-05-15 23:51
Teto,M4,170000,2021-05-15 23:54
Teto,Paypal,34038,2021-05-15 23:55
Kawe,Mds,125142,2021-05-15 23:57
Kawe,Iluminado,768,2021-05-16 00:13
Kawe,Iluminado,93777,2021-05-22 15:48
Hungria Hip Hop,Legacy,4008,2021-05-22 15:51
L7NNON,Mais Que Isso,18468,2021-05-22 15:51
Rincon Sapiência,Cotidiano,172727,2021-05-22 15:51
Haikaiss,No Toque da Meca,2939,2021-05-22 15:52
Tribo da Periferia,Resiliência,3101,2021-05-22 15:52
Froid,Kyoto,186709,2021-05-22 15:55
Kayuá,Celebrar,240000,2021-05-22 15:59
Rashid,Diário de Bordo 6,265763,2021-05-22 16:03
Mc Poze do Rodo,Vida Louca,155675,2021-05-22 16:06
Djonga,Xapralá,228631,2021-05-22 16:10
Felp 22,157,141333,2021-05-22 16:12
Sanza,Ondatop,172740,2021-05-22 16:15
PAPATRACKS,Jogando pra Tropa (Papatracks #5),192786,2021-05-22 16:18
Sain,Iori Incorporado,166057,2021-05-22 16:21
Sant,OPRES,234960,2021-05-22 16:25
Pineapple StormTv,Perfil #85: Nego Livre,1142,2021-05-22 16:28
Filipe Ret,F* F* M*,176000,2021-05-22 16:28
Pelé MilFlows,Devo Nada Pra Ninguém,3219,2021-05-22 16:28
Costa Gold,O Pai Tá On,1688,2021-05-22 16:28
MV Bill,Nóiz Mermo,271023,2021-05-22 16:32
Sest,Suíte 14 (feat. Djonga),230839,2021-05-22 16:36
Salvador Da Rima,Porta Voz,69401,2021-05-22 16:37
MC Cabelinho,OUTRO PATAMAR,9017,2021-05-22 16:38
LUDMILLA,Gato Siamês,1021,2021-05-22 16:38
Fleezus,Eu Ainda,1783,2021-05-22 16:38
Febem,ME PAGA (feat. Djonga),0,2021-05-22 16:40
Sant,Ensaio Sobre a Lucidez,141935,2021-05-22 16:40
Mac Júlia,Jogo Sujo,1598,2021-05-22 16:40
Teto,Paypal,10609,2021-05-22 16:40
Costa Gold,Ai Bebê,1762,2021-05-22 16:41
Costa Gold,Ciclone,2376,2021-05-22 16:41
Criolo,Sistema Obtuso,5735,2021-05-22 16:41
Kawe,Mandelão,3129,2021-05-22 16:41
Pedro Lotto,Do Lixo ao Luxo,1769,2021-05-22 16:41
Marginal Supply,A Fila Anda,1814,2021-05-22 16:41
Papatinho,Final de Semana,1268,2021-05-22 16:41
Orochi,Fiquei Rico Cedo,0,2021-05-22 16:41
Sabotage,Monstro Invisível,1957,2021-05-22 16:41
Cabal,Mete Marcha,2041,2021-05-22 16:41
Jhony Mc,Minha Cor Vai Viver,1869,2021-05-22 16:41
Black Alien,Chuck Berry,170627,2021-05-22 16:44
BIN,Saturno,186947,2021-05-22 16:47
Garganta Negra,Mil Perdões,33071,2021-05-22 16:48
BK,Mudando o Jogo,157270,2021-05-22 16:50
JayA Luuck,Praya,36822,2021-05-22 16:51
Marcelo Falcão,Céu Aberto,2345,2021-05-22 16:51
Cynthia Luz,Campo Minado,1744,2021-05-22 16:51
ADL,Favela Vive 4,1731,2021-05-22 16:51
Mainstreet,Assault (Angra),1648,2021-05-22 16:51
L7NNON,Nada é pra sempre,2479,2021-05-22 16:51
Febem,MÉXICO,1735,2021-05-22 16:51
Sagaz,Noua,1803,2021-05-22 16:51
Kawe,De 90 pra Cá,1962,2021-05-22 16:51
Papatinho,Lance Criminoso (feat. BK),2274,2021-05-22 16:51
Kyan,Preto e Dinheiro,664,2021-05-22 16:51
Tropa do Bruxo,Oclin e Evoque,1135,2021-05-22 16:51
BIN,Quase uma Semana,1774,2021-05-22 16:51
Rincon Sapiência,Tem Que Tá Veno (Verso Livre),1542,2021-05-22 16:51
Pineapple StormTv,Poesia Acústica 10: Recomeçar,1518,2021-05-22 16:51
Kant,Click Clack Bum,2372,2021-05-22 17:08
Drake,What’s Next,4732,2021-05-26 14:19
SpotemGottem,Beat Box 3 (feat. DaBaby),2247,2021-05-26 14:19
Future,Life Is Good (feat. Drake),4641,2021-05-26 14:19
Internet Money,Lemonade,6746,2021-05-26 14:19
Lil Nas X,HOLIDAY,151806,2021-05-26 14:21
Baby Keem,durag activity (with Travis Scott),109745,2021-05-26 14:23
Rincon Sapiência,Fé no Jogo,11981,2021-05-26 14:25
Julio Secchin,Jovem,4919,2021-05-26 14:25
Criolo,Lion Man,205440,2021-05-26 14:28
FBC,Auto Ajuda,170649,2021-05-26 14:31
Black Alien,Vai Baby,12503,2021-05-26 14:31
Rincon Sapiência,A Coisa Tá Preta,2739,2021-05-26 14:32
Planet Hemp,Dig Dig Dig (Hempa),2432,2021-05-26 14:32
Don L,Aquela Fé,2483,2021-05-26 14:32
Criolo,Sucrilhos,240226,2021-05-26 14:36
Rincon Sapiência,Mundo Manicongo - A COLORS SHOW,2793,2021-05-26 14:38
Black Alien,Au Revoir,2936,2021-05-26 14:38
Edi Rock,Um Novo Amanhã,5855,2021-05-26 14:38
Sabotage,Cantando pro Santo,3808,2021-05-26 14:38
MV Bill,Soldado do Morro,112078,2021-05-26 14:38
Criolo,Esquiva da Esgrima,223873,2021-05-26 14:42
Rashid,Vício,3582,2021-05-26 14:42
Flora Matos,ÁGUA DE CÔCO,4131,2021-05-26 14:42
Rincon Sapiência,Bon Voyage (Crioulo em Paris),2290,2021-05-26 14:42
Rincon Sapiência,Mete Dança (Verso Livre),1635,2021-05-26 14:46
Rico Dalasam,Braille,6439,2021-05-26 14:46
Emicida,Baiana,233320,2021-05-26 14:46
Baco Exu do Blues,Tardes Que Nunca Acabam,25060,2021-05-26 14:50
Criolo,Boca de Lobo,227046,2021-05-26 14:50
Rincon Sapiência,Hoje Tem Batuque,2324,2021-05-26 14:50
Nill,Nego Drama Pt. II,2367,2021-05-26 14:50
Akira Presidente,Double Cup,12979,2021-05-26 14:50
Planet Hemp,Legalize Já - Versão 2017,1482,2021-05-26 14:50
Criolo,Duas de Cinco,101463,2021-05-26 14:54
Black Alien,Rolo Compressor,1012,2021-05-26 14:55
Planet Hemp,Ex-Quadrilha da Fumaça,13406,2021-05-26 14:55
Black Alien,Carta Pra Amy,90,2021-05-26 14:55
Black Alien,Carta Pra Amy,15744,2021-05-26 14:55
Criolo,Cartão de Visita,22744,2021-05-26 14:55
MV Bill,Estilo Vagabundo,1204,2021-05-26 14:55
Baco Exu do Blues,Flamingos,2643,2021-05-26 14:55
Criolo,Duas de Cinco,631,2021-05-26 14:55
Rincon Sapiência,Estilo Maloca,8971,2021-05-26 14:55
Coruja Bc1,Éramos Tipo Funk,3539,2021-05-26 14:56
Rincon Sapiência,Sensação,2059,2021-05-26 14:56
ConeCrewDiretoria,"Rap, Cerva, Erva e Muita Larica",1657,2021-05-26 15:00
Flora Matos,TOCA DISCOS,2129,2021-05-26 15:00
Tassia Reis,Se Avexe Não,3216,2021-05-26 15:00
Rincon Sapiência,Sinfonia da Revolução,4571,2021-05-26 15:00
Nill,Minha Mulher Acha Que Eu Sou o Brad Pitt,2154,2021-05-26 15:00
Edi Rock,Abram-se os Caminhos,2312,2021-05-26 15:00
Rincon Sapiência,Resenha de Futebol,2868,2021-05-26 15:00
ConeCrewDiretoria,Chefe de Quadrilha,235540,2021-05-26 15:00
Black Alien,From Hell do Céu,1588,2021-05-26 15:00
Criolo,Grajauex,8285,2021-05-26 15:00
Sabotage,Monstro Invisível,6305,2021-05-26 15:00
Black Alien,Chuck Berry,986,2021-05-26 15:00
DJ Caique,Dia Chuvoso,3502,2021-05-26 15:00
Rincon Sapiência,Cotidiano,172727,2021-05-26 15:04
Criolo,Ainda Há Tempo,20021,2021-05-26 15:08
Flora Matos,MEDITO E ME ACALMO,1149,2021-05-26 15:08
Rincon Sapiência,Me Nota,195685,2021-05-26 15:08
Black Alien,Aniversário de Sobriedade,4979,2021-05-26 15:08
FBC,SE EU NÃO TE CANTAR,156647,2021-05-26 15:27
Pineapple StormTv,Poesia Acústica 10: Recomeçar,4027,2021-05-26 21:22
Teto,M4,103613,2021-05-26 21:25
KayBlack,Vivências,1284,2021-06-01 00:30
KayBlack,Fio a Fio,130,2021-06-01 00:30
KayBlack,Fio a Fio,1578,2021-06-01 00:30
Matuê,777-666,708,2021-06-01 00:30
Matuê,777-666,0,2021-06-01 00:30
Teto,M4,39659,2021-06-01 00:30
MC Caverinha,Meu Corre,4215,2021-06-01 00:30
Jovem Dex,Fogo,3100,2021-06-01 00:30
Jovem Dex,Fogo,72574,2021-06-01 00:31
KayBlack,Vivências,708,2021-06-01 00:32
KayBlack,Vivências,87,2021-06-01 00:32
Tz da Coronel,Corte do Jaca,0,2021-06-01 00:32
Tz da Coronel,Corte do Jaca,3792,2021-06-01 00:32
UCLÃ,Gatinha,1042,2021-06-01 00:32
KayBlack,Fio a Fio,4656,2021-06-01 00:32
Matuê,777-666,2507,2021-06-01 00:32
Matuê,777-666,161332,2021-06-01 00:34
KayBlack,Vivências,25727,2021-06-01 00:35
VMZ,Plutão,5422,2021-06-01 00:35
Kawe,Brilho,2450,2021-06-01 00:35
Abbot,Hylander,708,2021-06-01 00:35
Tz da Coronel,Corte do Jaca,708,2021-06-01 00:35
Sidoka,Me Equivoquei,2689,2021-06-01 00:35
Jovem Dex,Tapa,7063,2021-06-01 00:35
UCLÃ,Gatinha,3797,2021-06-01 00:35
Yunk Vino,30 Dias,4935,2021-06-01 00:35
Orochi,Fiquei Rico Cedo,2461,2021-06-01 00:35
DJ Matt D,Set 2.0: Homenagem aos Relíquias,1823,2021-06-01 00:35
Tropa do Bruxo,Oclin e Evoque,1986,2021-06-01 00:35
Jovem Dex,Chanel,1823,2021-06-01 00:36
Jé Santiago,Tt,5469,2021-06-01 00:36
Abbot,Hylander,15128,2021-06-01 00:36
Sidoka,Me Equivoquei,2984,2021-06-01 00:36
Salvador Da Rima,Vergonha pra Midia,1625,2021-06-01 00:36
Kyan,Preto e Dinheiro,708,2021-06-01 00:36
Jovem Dex,Chanel,0,2021-06-01 00:38
Jé Santiago,Tt,455,2021-06-01 00:38
Abbot,Hylander,0,2021-06-01 00:38
Sidoka,Me Equivoquei,0,2021-06-01 00:38
Salvador Da Rima,Vergonha pra Midia,0,2021-06-01 00:38
Orochi,Fiquei Rico Cedo,0,2021-06-01 00:38
Kyan,Preto e Dinheiro,0,2021-06-01 00:38
UCLÃ,21,117177,2021-06-01 00:38
Kawe,Brilho,27834,2021-06-01 00:39
Orochi,Fiquei Rico Cedo,0,2021-06-01 16:35
Kawe,Brilho,81962,2021-06-01 16:36
Rincon Sapiência,Cotidiano,172727,2021-06-01 16:39
Trilha Sonora do Gueto,Reflexões,10174,2021-06-01 16:43
Black Alien,Jamais Serão,2557,2021-06-01 16:43
Rincon Sapiência,Afro Rep,231120,2021-06-01 16:43
MV Bill,Estilo Vagabundo,20369,2021-06-01 16:43
Nill,Regras da Loja,713,2021-06-01 16:44
ConeCrewDiretoria,O mundo deu voltas,3608,2021-06-01 16:44
RZO,Paz Interior,9232,2021-06-01 16:44
Rincon Sapiência,Coisas de Brasil,161,2021-06-01 16:44
Rincon Sapiência,Galanga Livre,5745,2021-06-01 16:47
Flora Matos,O Jeito,17494,2021-06-01 16:47
Black Alien,Aniversário de Sobriedade,164902,2021-06-01 16:47
ADL,Favela Vive 3,3517,2021-06-01 16:51
Emicida,A Ordem Natural das Coisas (feat. Mc Tha),227906,2021-06-01 16:51
MV Bill,Nóiz Mermo,271023,2021-06-01 16:55
Black Alien,Rolo Compressor,11072,2021-06-01 16:56
Baco Exu do Blues,Humanos Não Matam Deuses,663,2021-06-01 16:56
Baco Exu do Blues,Humanos Não Matam Deuses,6458,2021-06-01 16:56
Planet Hemp,Stab,10912,2021-06-01 16:56
Rincon Sapiência,Mundo Manicongo,2268,2021-06-01 16:56
Rincon Sapiência,Mundo Manicongo,924,2021-06-01 16:56
Baco Exu do Blues,Humanos Não Matam Deuses,93350,2021-06-01 16:58
Planet Hemp,Stab,43654,2021-06-01 16:58
Sabotage,Monstro Invisível,9590,2021-06-01 16:59
Criolo,Vasilhame,172440,2021-06-01 17:01
Rincon Sapiência,Real Oficial,5271,2021-06-01 17:01
Black Alien,Sangue de Free,2930,2021-06-01 17:02
Rico Dalasam,Mudou Como?,2520,2021-06-01 17:02
Emicida,Levanta e Anda,150439,2021-06-01 17:04
Drik Barbosa,Seu abraço,6564,2021-06-01 17:04
509-E,Oitavo Anjo,5050,2021-06-01 17:04
Rincon Sapiência,Só Moleque Bom,2137,2021-06-01 17:04
Black Alien,Que Nem o Meu Cachorro,211363,2021-06-01 17:08
Rico Dalasam,Braille,56164,2021-06-01 17:09
Rincon Sapiência,Fé no Jogo,6769,2021-06-01 17:14
Emicida,Ooorra - Ao Vivo,284693,2021-06-01 17:14
ConeCrewDiretoria,"Rap, Cerva, Erva e Muita Larica",6608,2021-06-01 17:17
FBC,SE EU NÃO TE CANTAR,158936,2021-06-01 17:17
Don L,Depois das Três,173298,2021-06-01 17:20
Rashid,Vício,109819,2021-06-01 17:21
Rincon Sapiência,Sensação,3397,2021-06-01 17:22
Rincon Sapiência,Malícia,2122,2021-06-01 17:23
Emicida,"Eminência Parda (feat. Dona Onete, Jé Santiago & Papillon)",5229,2021-06-01 17:23
Emicida,9nha (feat. Drik Barbosa),64906,2021-06-01 17:23
Rincon Sapiência,A Noite É Nossa,2258,2021-06-01 17:23
Sabotage,O Gatilho,3397,2021-06-01 17:23
Mano Brown,Mulher Elétrica,6681,2021-06-01 17:23
Planet Hemp,Dig Dig Dig (Hempa),1420,2021-06-01 17:23
Emicida,"Eminência Parda (feat. Dona Onete, Jé Santiago & Papillon)",244186,2021-06-01 17:27
Planet Hemp,Dig Dig Dig (Hempa),11752,2021-06-01 17:27
Rico Dalasam,Expresso Sudamericah,78137,2021-06-01 17:29
Rincon Sapiência,Amor e Calor,2724,2021-06-01 17:29
ConeCrewDiretoria,Rainha da pista,2375,2021-06-01 17:29
Criolo,Tô Pra Ver,254520,2021-06-01 17:33
Emicida,Pequenas Alegrias da Vida Adulta (feat. Marcos Valle e Thiago Ventura),239059,2021-06-01 17:37
Trilha Sonora do Gueto,Face Oculta,10897,2021-06-01 17:37
Rincon Sapiência,Moça Namoradeira,5956,2021-06-01 17:41
Baco Exu do Blues,Esú,248000,2021-06-01 17:41
Don L,kelefeeling (verso livre),4685,2021-06-01 17:41
Criolo,Sistema Obtuso,4479,2021-06-01 17:42
Don L,kelefeeling (verso livre),204923,2021-06-01 17:45
Criolo,Sistema Obtuso,199130,2021-06-01 17:48
Mano Brown,Gangsta Boogie,201626,2021-06-01 17:52
Rincon Sapiência,Arrastão,2387,2021-06-01 17:53
Sabotage,País da Fome: Homens Animais,38785,2021-06-01 17:53
Flora Matos,ÁGUA DE CÔCO,47787,2021-06-01 17:53
Baco Exu do Blues,Ela É Gostosa Pra Caralho,3315,2021-06-01 17:53
FBC,Auto Ajuda,170649,2021-06-01 17:56
Emicida,"Cananéia, Iguape e Ilha Comprida",14722,2021-06-01 17:56
Rincon Sapiência,Andar Com Fé,19803,2021-06-01 17:57
Criolo,Convoque Seu Buda,231240,2021-06-01 18:01
Baco Exu do Blues,En Tu Mira,162789,2021-06-01 18:03
Karol Conká,Dilúvio,3539,2021-06-01 18:04
Rincon Sapiência,Cotidiano,1344,2021-06-01 18:04
Edi Rock,Um Novo Amanhã,17899,2021-06-01 18:04
Emicida,AmarElo (Sample: Sujeito de Sorte - Belchior),320800,2021-06-01 18:09
Black Alien,Take Ten,7970,2021-06-01 18:18
Rincon Sapiência,Hoje Tem Batuque,2782,2021-06-01 18:18
ConeCrewDiretoria,Chama os mulekes,3839,2021-06-01 18:18
Nill,Nego Drama Pt. II,56191,2021-06-01 18:18
Rincon Sapiência,Malícia,1242,2021-06-01 18:19
Baco Exu do Blues,Tardes Que Nunca Acabam,22672,2021-06-01 18:19
Sabotage,No Brooklin,2656,2021-06-01 18:19
Sabotage,Cocaína,7203,2021-06-01 18:19
Rincon Sapiência,Ponta de Lança (Verso Livre),2224,2021-06-01 18:19
Rashid,Sobrou Silêncio,2631,2021-06-01 18:19
Karol Conká,É o Poder,2967,2021-06-01 18:19
Flora Matos,Como Faz - Acústico,4323,2021-06-01 18:19
Black Alien,From Hell do Céu,1637,2021-06-01 18:19
ConeCrewDiretoria,Calma na alma,5078,2021-06-01 18:19
Sabotage,Love Song (A Maior Dor de um Homem),5188,2021-06-01 18:20
Akira Presidente,Sem Colete,14491,2021-06-01 18:20
Rincon Sapiência,Onda Sabor e Cor,2479,2021-06-01 18:20
Flora Matos,"Pretin (Verão, Pt. 1)",5585,2021-06-01 18:20
