Artista,Musica,Tempo,Data
Djonga,"Irmãos de Arma, Irmãos de Luta",1323,2021-03-06 14:36
FBC,pra você e pra mim,1128,2021-03-06 14:36
FBC,Baile de Ladrão,5368,2021-03-06 14:36
FBC,CONFIO,65517,2021-03-06 14:36
FBC,MONEY MANIN,179200,2021-03-06 14:40
FBC,Gameleira,33580,2021-03-06 14:41
FBC,se brotar,9752,2021-03-06 14:43
FBC,Superstar,125794,2021-03-06 14:43
FBC,IPHONE,231111,2021-03-06 14:47
FBC,Ela É Green,1471,2021-03-06 14:49
FBC,Levar a Sério,105635,2021-03-06 14:49
FBC,leve 3,35091,2021-03-06 15:06
FBC,leve 3,137344,2021-03-06 16:59
FBC,THC,90001,2021-03-06 17:01
FBC,THC,251806,2021-03-10 20:16
FBC,se brotar,82840,2021-03-10 20:17
FBC,Ela É Green,215179,2021-03-10 20:21
FBC,Ixquece,29834,2021-03-10 20:23
FBC,Champs-Élysées,92838,2021-03-10 20:23
FBC,IPHONE,4373,2021-03-10 20:23
FBC,leve 3,2311,2021-03-10 20:23
Djonga,Gelo (prod. Coyote Beatz),2080,2021-03-10 20:24
Sidoka,Olha Pro Oclin,2375,2021-03-10 20:24
FBC,Sincero Foda-Se,30643,2021-03-10 20:24
Pineapple StormTv,Poetas no Topo 2,523467,2021-03-10 20:33
FBC,De Kenner,17949,2021-03-10 20:35
FBC,SE EU NÃO TE CANTAR,158936,2021-03-10 20:35
FBC,Auto Ajuda,170649,2021-03-10 20:39
FBC,Frank & Tikão,228995,2021-03-10 20:43
FBC,$ENHOR,254350,2021-03-10 20:47
Garena Free Fire,Capa E Tchau,18339,2021-03-10 20:48
FBC,17 Anos,1710,2021-03-10 20:48
FBC,pra você e pra mim,2063,2021-03-10 20:48
FBC,Gameleira,2156,2021-03-10 20:48
FBC,vale grana,4188,2021-03-10 20:48
FBC,Baile de Ladrão,1067,2021-03-10 20:48
FBC,MONEY MANIN,19780,2021-03-10 20:48
FBC,CONFIO,2778,2021-03-10 20:48
LEALL,Cadeia ou Morte?,140571,2021-03-10 20:51
Pineapple StormTv,Aulas e Palestras,193600,2021-03-10 20:54
Febem,CRIME,188330,2021-03-10 20:57
FBC,Levar a Sério,146898,2021-03-10 20:59
SD9,40°.40,196000,2021-03-10 21:03
Kyan,Chefin,2501,2021-03-10 21:03
Derxan,Chumbo,33383,2021-03-10 21:03
Fleezus,City Runners (feat. Kyan),4956,2021-03-10 21:03
VND,7 Balas / Dono da Rua,8956,2021-03-10 21:04
Flacko,Ai Calica,3120,2021-03-10 21:04
Fleezus,Revolta,2520,2021-03-10 21:04
LEALL,"Os Pitbull do Ano, Pt. 2",65547,2021-03-10 21:05
Diomedes Chinaski,O Aprendiz,108414,2021-03-10 21:07
Emicida,Triunfo (A Rua É Nóiz),0,2021-03-10 21:07
509-E,Oitavo Anjo,0,2021-03-10 21:09
Emicida,Triunfo (A Rua É Nóiz),0,2021-03-10 21:09
Racionais MC's,"Vida Loka, Pt. 1",303560,2021-03-10 21:28
Sabotage,Rap É Compromisso,160028,2021-03-10 21:30
Djonga,JUNHO DE 94,329008,2021-03-10 22:10
Criolo,Subirusdoistiozin,213573,2021-03-10 22:14
Black Alien,Babylon By Gus,97079,2021-03-10 22:15
Marcelo D2,Desabafo / Deixa Eu Dizer,175666,2021-03-10 22:18
Emicida,Triunfo (A Rua É Nóiz),209373,2021-03-10 22:22
Edi Rock,That's My Way,14634,2021-03-10 22:38
Edi Rock,That's My Way,325449,2021-03-10 22:45
Gabriel O Pensador,Cachimbo da Paz (feat. Lulu Santos),333106,2021-03-10 22:51
Pineapple StormTv,Poetisas no Topo 2,556662,2021-03-10 23:00
Planet Hemp,Mantenha o Respeito,196200,2021-03-10 23:03
Rincon Sapiência,Ponta de Lança (Verso Livre),214165,2021-03-10 23:07
Rashid,Bilhete 2.0 (feat. Luccas Carlos),223488,2021-03-10 23:11
Baco Exu do Blues,Te Amo Disgraça,290400,2021-03-10 23:16
Don L,Beira de Piscina (Remix),229889,2021-03-10 23:19
Filipe Ret,Invicto,256988,2021-03-10 23:24
Rappin' Hood,Rap du Bom Parte II - Mús. Incid.: Odara,435141,2021-03-10 23:31
Flora Matos,Preta de Quebrada,2746,2021-03-10 23:33
MV Bill,O Soldado Que Fica,140032,2021-03-10 23:33
RZO,O Trem,3615,2021-03-10 23:33
Emicida,Levanta e Anda,2205,2021-03-10 23:34
Haikaiss,Raplord,1740,2021-03-10 23:34
BNegão,Enxugando Gelo,18673,2021-03-10 23:34
Karol Conká,Boa Noite,6712,2021-03-10 23:34
Rodrigo Ogi,Profissão Perigo,168698,2021-03-10 23:37
Sombra,Homem Sem Face,80209,2021-03-10 23:38
Kamau,Só,201280,2021-03-10 23:41
Sabotage,Canão Foi Tão Bom,330799,2021-03-10 23:47
Helião,Periferia / Sample: Fim De Semana No Parque,16589,2021-03-10 23:47
Pentagono,O Q?,14505,2021-03-10 23:48
Helião,Periferia / Sample: Fim De Semana No Parque,1965,2021-03-10 23:48
Pentagono,O Q?,252480,2021-03-10 23:52
Black Alien,Rolo Compressor,27761,2021-03-10 23:53
BK,Castelos & Ruínas,249490,2021-03-10 23:57
Djonga,O Mundo é Nosso,223888,2021-03-11 00:00
Projota,Elas Gostam Assim,20004,2021-03-11 00:01
Karol Conká,Tombei,1669,2021-03-11 00:01
Instituto,Cabeça de Nêgo,3185,2021-03-11 00:01
Flora Matos,"Pretin (Verão, Pt. 1)",1371,2021-03-11 00:01
Lurdez Da Luz,Andei,2845,2021-03-11 00:01
Don L,Eu Não Te Amo,291243,2021-03-11 00:06
ConeCrewDiretoria,Chama os mulekes,353532,2021-03-11 00:12
Sabotage,Respeito É pra Quem Tem,1908,2021-03-11 00:18
Trilha Sonora do Gueto,Favela Sinistra,7015,2021-03-11 00:18
MV Bill,Rapstência,1296,2021-03-11 00:18
GOG,O Amor Venceu a Guerra,1616,2021-03-11 00:18
Racionais MC's,Diário de um Detento,1488,2021-03-11 00:18
Dexter,Eu Sô Função,384155,2021-03-11 00:18
Black Alien,Como Eu Te Quero,1509,2021-03-11 00:19
Parteum,Raciocínio Quebrado,58035,2021-03-11 00:19
Gabriel O Pensador,Retrato de um Playboy (Juventude Perdida),58742,2021-03-11 00:20
Thaíde & DJ Hum,Sr. Tempo Bom,1644,2021-03-11 00:25
Mamelo Sound System,Vô – Q – Vô,19763,2021-03-11 00:25
Somos Nós A Justiça,Se Tu Lutas Tu Conquistas,1964,2021-03-11 00:25
Rappin' Hood,Zé Brasileiro,267210,2021-03-11 00:25
Mano Brown,Mulher Elétrica,2979,2021-03-11 00:25
Kamau,Entre,2325,2021-03-11 00:26
Racionais MC's,"Capítulo 4, Versículo 3",1142,2021-03-11 00:26
Somos Nós A Justiça,Se Tu Lutas Tu Conquistas,1753,2021-03-11 00:26
Mano Brown,Mulher Elétrica,5031,2021-03-11 00:26
Consciência Humana,Lei da Periferia,1906,2021-03-11 00:26
Rashid,E Se,273320,2021-03-11 00:30
Mc Marechal,Primeiro de Abril,249289,2021-03-11 00:34
Xis,Us Mano e as Mina,7358,2021-03-11 00:35
Xis,Us Mano e as Mina,2829,2021-05-06 20:20
Ndee Naldinho,O 5° Vigia,5880,2021-05-06 20:21
Realidade Cruel,Depoimento de um Viciado,579,2021-05-09 09:37
LEALL,Pedras Amarelas,137865,2021-05-09 09:39
Fleezus,City Runners (feat. Kyan),166474,2021-05-09 09:42
Derxan,Didier Droga & Ba,141994,2021-05-09 09:44
LEALL,Pedras Amarelas,89314,2021-05-09 09:46
LEALL,Pedras Amarelas,137865,2021-05-09 09:48
Fleezus,City Runners (feat. Kyan),166474,2021-05-09 09:51
Derxan,Didier Droga & Ba,159464,2021-05-09 09:53
Dropallien,Alotrópico,148734,2021-05-09 09:56
VND,Bandido Chique,150857,2021-05-09 09:58
SD9,Nigéria 96,296142,2021-05-09 10:03
Thxuzz,Plantão,171428,2021-05-09 10:06
Jean Tassy,Hoje à Noite,194410,2021-05-09 10:09
Fleezus,Revolta,196986,2021-05-09 10:13
Febem,CRIME,188330,2021-05-09 10:16
LEALL,Cadeia ou Morte?,140571,2021-05-09 10:18
Bruxo 021,Nota de 200,193961,2021-05-09 10:22
Kyan,Menor Magrinho,152169,2021-05-09 10:24
KBrum,Ali Baba,193874,2021-05-09 10:27
Derxan,El Chapo,175273,2021-05-09 10:30
Febem,OG,141360,2021-05-09 10:33
SD9,40°.40,196000,2021-05-09 10:36
VND,Mano Você É Playboy,208000,2021-05-09 10:39
LEALL,Cadeia ou Morte?,0,2021-05-09 10:40
Bruxo 021,Nota de 200,0,2021-05-09 10:40
Dropallien,Alotrópico,0,2021-05-09 10:40
KBrum,Ali Baba,0,2021-05-09 10:40
Thxuzz,Plantão,0,2021-05-09 10:40
SD9,40°.40,0,2021-05-09 10:40
Febem,CRIME,0,2021-05-09 10:40
Derxan,El Chapo,0,2021-05-09 10:40
