Canal,Nome vídeo,Data
Camisa 21,Watched DESCOBRIMOS O CAMPEÃO BRASILEIRO DE 2021,2021-07-13 21:13:29.207
rock.br,"Watched Comodoro - Ao vivo no ""Acesso""",2021-07-13 18:37:15.108
Geração Analítica,Watched Dicas Python para Ciência de dados - .apply() + lambda | Pandas,2021-07-12 23:52:17.427
Hashtag Programação,Watched Como Usar as Funções Lambda (Expressões Lambda) no Python,2021-07-12 23:08:57.853
Otávio Miranda,Watched Expressões lambda (funções anônimas) em Python - Aula 17,2021-07-12 23:05:03.642
Brass Against,Watched Brass Against - Know Your Enemy (Rage Against the Machine Cover) ft. Sophia Urista,2021-07-12 22:00:51.457
Brass Against,Watched Brass Against - Guerrilla Radio (Rage Against the Machine Cover) feat. Sophia Urista,2021-07-12 21:57:08.236
MrVideodisasterz,Watched Bad Brains - Live at the CBGB's 1982 (Full Concert),2021-07-12 21:55:23.918
Fisioprev com Guilherme Stellbrink,Watched COMO FAZER TRÍCEPS FRANCES COM BARRA W EM PÉ - Fisioprev,2021-07-12 20:39:05.221
adsense,Watched https://www.youtube.com/watch?v=y-wlouaVsWg,2021-07-12 15:06:10.508
Programação Dinâmica,Watched O que estão dizendo sobre o Joker(Coringa)?,2021-07-12 01:26:18.463
Programação Dinâmica,Watched Gráfico de dispersão utilizando latitude e longitude *mapa do Brasil* | Análise de dados #13,2021-07-12 01:26:07.744
Netflix,Watched The Witcher: Season 2 Teaser Trailer | Netflix,2021-07-11 22:20:08.985
Doma Arquitetura,Watched KITNET CASA PEQUENA E CHEIA DE CHARME,2021-07-11 22:05:15.763
EurogamerPortugal,Watched Ghost Recon Breakpoint - Primeiros 30 minutos,2021-07-10 21:58:24.294
Meteoro Brasil,Watched ADVOGADO DA FAMÍLIA BOLSONARO AMEAÇA JORNALISTA,2021-07-10 21:25:26.802
tech How,Watched Black Ops 4 - How to Fix Negative 345 Silver Wolf Error,2021-07-10 16:31:12.069
Pompei Br,Watched RESOLVIDO (error code 345 silver wolf) COD-BLACK OPS 4,2021-07-10 16:27:25.144
zevicttt,Watched PROBLEMAS pra se Conectar no Servidor BO3 - Possível solução [dica rápida],2021-07-10 16:14:41.949
D-Corvo,Watched COMO ARRUMAR A CONEXAO DO BLACK OPS 4,2021-07-10 15:58:52.850
Camisa 21,Watched O POLÊMICO VÍDEO DO CR7 DRIBLANDO! | MARMITEX,2021-07-10 15:33:03.983
adsense,Watched Loki no Disney+,2021-07-10 15:32:29.202
adsense,Watched VALE | Juntos contra a fome,2021-07-09 20:12:12.862
adsense,Watched Muito mais que um pagamento.,2021-07-09 19:18:48.468
adsense,Watched No iFood tem tudo de bom pra pedir PIZZA!,2021-07-09 16:44:10.359
Programação Dinâmica,Watched Gráfico de dispersão utilizando latitude e longitude *mapa do Brasil* | Análise de dados #13,2021-07-09 15:08:04.481
Programação Dinâmica,Watched ADICIONANDO marcadores no gráfico do MATPLOTLIB | Respondendo comentários #1 | Análise de dados #12,2021-07-09 13:13:56.967
Programação Dinâmica,Watched Gráfico com quatro quadrantes em Python | Análise de dados #11,2021-07-09 12:53:23.349
Willian Justen Cursos,Watched GitHub Copilot - O que é? Como funciona? Testando na prática!,2021-07-08 18:25:16.795
The DataViz Cat,Watched A Guide to Circle Packing,2021-07-08 18:21:24.675
The DataViz Cat,Watched A Guide to Connection Maps,2021-07-08 18:20:22.671
Camisa 21,"Watched ""O RB BRAGANTINO É O MAIOR DE SP?"" - CLAUDINHO NO BTS",2021-07-08 15:04:11.295
Programação Dinâmica,Watched Como combinar dois conjuntos de dados? | Análise de dados #10,2021-07-08 14:52:52.331
Programação Dinâmica,Watched Como manipular um DataFrame e EXPORTAR para CSV? | Análise de dados #9,2021-07-08 14:34:01.455
Programação Dinâmica,Watched Como fazer gráfico de um DataFrame do Pandas? | Análise de dados #8,2021-07-08 14:05:23.320
