Canal,Nome vídeo,Data
BabyBus Português - Músicas Infantis e Desenhos,"Watched Super Ambulância,Vamos Lá! | Super Carro | Historinhas e Músicas Infantis | BabyBus Português",2020-04-15 15:07:11.679
BabyBus Português - Músicas Infantis e Desenhos,Watched Super Panda Resgate o Papai Cavalo Marinho | Super Equipe de Resgate | Desenhos Animados | BabyBus,2020-04-15 14:36:07.577
POCOYO em PORTUGUÊS BRASIL - Canal Oficial,Watched 🎄 POCOYO em PORTUGUÊS do BRASIL - Preparando o natal 120 min | DESENHOS ANIMADOS para crianças,2020-04-15 14:34:58.754
BabyBus Português - Músicas Infantis e Desenhos,Watched O Que Você Quer Ser? ✨ | Jogar Futebol!⚽ | Historinhas e Músicas Infantis | BabyBus Português,2020-04-15 13:48:06.827
BabyBus Português - Músicas Infantis e Desenhos,Watched Bebê Panda Vai ao Médico | Kiki e Seus Amigos |  Desenho Infantil | Desenho Animado | BabyBus,2020-04-15 13:47:37.918
HUMAN o filme,Watched Entrevista com José - URUGUAI - #HUMAN,2020-04-15 03:31:15.087
Vatican News,"Watched April 13 2020, Regina Coeli prayer I Pope Francis",2020-04-15 02:45:02.258
EuTestei,"Watched O que o BBB tem a ver com smartphones, tecnologia e escolhas - Cultura do cancelamento",2020-04-14 22:07:17.916
Desimpedidos,Watched Chico e Fred reagindo ao primeiro FRED+10!,2020-04-14 00:55:36.288
Desimpedidos,Watched Carlos Alberto responde os corneteiros CARA A CARA!,2020-04-14 00:37:48.883
Coruja BC1,Watched Coruja BC1 - Antes do Álbum (Jill Scott - A Long Walk),2020-04-13 21:51:45.213
Porta dos Fundos,Watched INVISÍVEL,2020-04-13 19:40:23.805
Manual do Mundo,Watched EXPERIÊNCIA SUPER FÁCIL: Caneca misteriosa 🔵Manual do Mundo,2020-04-13 19:31:46.994
Node Studio Treinamentos,Watched Curso de CSS3 - Aula 02 - Aplicando CSS e Sintaxe,2020-04-13 18:19:04.880
Node Studio Treinamentos,Watched Curso de CSS3 - Aula 01 - Introdução ao CSS3,2020-04-13 18:18:53.896
Bate-papo: educação,Watched TucaProg - Programação Visual e Pensamento Computacional,2020-04-13 16:33:59.405
Bate-papo: educação,Watched O que é pensamento computacional?,2020-04-13 15:57:23.620
irolandinho,Watched Por que gravo num QUARTO DE CRIANÇA?,2020-04-13 03:45:44.922
NPR Music,Watched John Prine Tribute: Tiny Desk (Home) Concert,2020-04-13 03:44:30.187
Pipocando,Watched 6 PIORES PLOT TWISTS DO CINEMA!,2020-04-13 03:30:18.461
Pipocando,Watched 10 EFEITOS ESPECIAIS DESNECESSÁRIOS!,2020-04-13 03:17:04.997
Canal Ipiranga,Watched Porta dos Fundos - Viciado,2020-04-13 00:33:32.890
Acabou de Acabar,Watched JASPION ERA BRASILEIRO??  VOLTE A INFÂNCIA AGORA!!! 🤔😲,2020-04-13 00:31:08.812
Quadro em Branco,Watched símbolos fálicos em todos os lugares,2020-04-13 00:31:05.434
Porta dos Fundos,Watched LIMITE DE AMIGOS,2020-04-13 00:30:53.812
adsense,Watched https://www.youtube.com/watch?v=nTzpIadKwAQ,2020-04-13 00:30:32.305
Editor Frustrado,Watched Os Sete Gatinhos filme completo 1980 Nelson Rodrigues - Neville d' Almeida,2020-04-13 00:16:42.621
Anões Em Chamas,Watched Momento,2020-04-13 00:16:16.477
Porta dos Fundos,Watched MACONHA,2020-04-13 00:05:41.498
Desimpedidos,"Watched Vai Pra Cima , Fred - Trailer Oficial",2020-04-13 00:03:36.256
The Wrench,Watched WOW! Amazing DIY Pocket PC | Windows Tablet,2020-04-13 00:02:27.584
The Science Elf,Watched Sony's Handheld PC from 2006,2020-04-13 00:01:26.692
Unbox Therapy,Watched The Most Expensive Keyboard I've Ever Unboxed...,2020-04-12 23:59:23.446
mastercolorado,Watched JOGO COMPLETO - São Paulo 1x2 INTERNACIONAL - Final Libertadores 2006 - GLOBO,2020-04-12 19:03:02.699
TV Quase,Watched FALHA DE COBERTURA #187: Brasil Penta (live),2020-04-12 18:43:06.542
NandaPlay,Watched Matei o T-REX com a nova ARMA no Mini World | Mundo dos Dinossauros #3,2020-04-12 18:35:44.784
SapoGamePlay,Watched Jogos e Desenhos Para Crianças - Funny Food! Educação infantil,2020-04-12 18:14:56.597
NandaPlay,Watched Os DINOSSAUROS são suicidas no Mini World | Mundo dos Dinossauros #2,2020-04-12 18:10:13.460
José Freitas,Watched Elis Regina E Jair Rodrigues - Dois na Bossa   1965 - Full Album,2020-04-12 16:43:49.213
NandaPlay,Watched Os DINOSSAUROS surgiram no Mini World | Mundo dos Dinossauros #1 (NOVA SÉRIE),2020-04-12 15:41:33.972
NandaPlay,Watched Camuflei no Esconde-Esconde do Mini World !,2020-04-12 15:34:22.084
NandaPlay,Watched Esconde-Esconde dos PIRATAS no Mini World !,2020-04-12 15:20:58.859
Desimpedidos,Watched Maiores loucuras nas viagens do Desimpedidos!,2020-04-12 02:10:02.162
levy Gomes da Silva,Watched MST provoca destruição em fazendas na Bahia,2020-04-11 14:40:13.905
Trains - The Animated Series for Children,Watched Trains with Morphle and Phoebe the Witch girl 6,2020-04-10 17:36:43.482
Trains - The Animated Series for Children,Watched Trains with Morphle and Phoebe the Witch girl 5,2020-04-10 15:35:03.776
Bate-papo: educação,Watched O que é pensamento computacional?,2020-04-10 14:56:30.512
Blippi - Educational Videos for Kids,Watched Videos for Toddlers - Learn Numbers and Alphabet with Animals & Tractors. 1 Hour!,2020-04-10 14:21:43.181
Blippi Toys,Watched Learn Colors with Blippi at the Indoor Playground | 1 Hour,2020-04-10 13:21:53.265
SiaVEVO,Watched Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),2020-04-10 04:57:05.409
Ygor Bolado,Watched Eu te amo! Sua besta. Desgraçado. Inferno! Inferno!,2020-04-10 04:09:27.115
Ygor Bolado,Watched Toca pro inferno motorista,2020-04-10 04:08:53.168
adsense,Watched https://www.youtube.com/watch?v=_Pygvepgk5w,2020-04-10 04:08:43.865
adsense,Watched a video that has been removed,2020-04-10 04:07:33.152
Prinsk Martins,Watched Funk do Me Serve Vadia com Nina e Carminha da Avenida Brasil,2020-04-10 04:05:44.305
Frik-Shuhn Yoga & Coaching,"Watched Avenida Brasil - “Me serve vadia, me serve!!!”",2020-04-10 04:05:10.550
adsense,Watched https://www.youtube.com/watch?v=S-VaQhI5li8,2020-04-10 04:04:42.501
Warner Bros. Pictures Brasil,Watched As Melhores Coisas do Mundo - Trailer Final,2020-04-10 03:45:38.413
Anistia Internacional Brasil,"Watched CRISE DA COVID-19: Nova economia, fim da privacidade e polícia médica | Luiz Eduardo Soares",2020-04-09 22:25:15.431
Breve Cotidiano,"Watched Viver sem medo, de Eduardo Galeano (Sangue Latino)",2020-04-09 20:12:56.687
HUMAN o filme,Watched Entrevista com José - URUGUAI - #HUMAN,2020-04-09 20:12:52.244
O Lugar,Watched Como adiar o fim do mundo - Ailton Krenak,2020-04-09 20:11:21.409
Silo Arte e Latitude Rural,Watched Laboratórios na Pandemia | Uma conversa entre gestores e cientistas,2020-04-09 20:08:10.273
Dr. Joel Seedman,Watched Anti Seesaw Pushup to Fix Asymmetrical Pressing,2020-04-09 16:06:46.351
Blippi - Educational Videos for Kids,Watched Story Time and More! Educational Videos for Kids by Blippi,2020-04-09 15:59:50.816
Blippi Toys,Watched Blippi at the Zoo | Learn Animals for Children and Toddlers,2020-04-09 15:44:49.591
Julio Marcos Bortolon Rodrigues,Watched Basic toggle of hardcoded tasks,2020-04-09 15:42:44.673
Keep Productive,Watched Top 5 Note-Taking Apps of 2019,2020-04-09 15:40:51.814
dcode,Watched Styling HTML Forms With CSS - Web Design/UX Tutorial,2020-04-09 15:07:55.670
CFBCursos,Watched Curso de CSS3 #01 - Inserindo CSS na página HTML,2020-04-09 14:45:18.432
How To Install,Watched How to Install Joplin (manage notes and to-do lists),2020-04-09 14:42:35.620
Blippi - Educational Videos for Kids,Watched Videos for Toddlers with Blippi | Learn Colors and Numbers for Children,2020-04-09 14:38:35.398
Blippi - Educational Videos for Kids,Watched Diggers for Children with Blippi and More | 1 Hour Long!,2020-04-09 14:38:02.560
Blippi - Educational Videos for Kids,Watched Explore Machines with Blippi | Garbage Trucks and More!,2020-04-09 14:35:23.272
Blippi Toys,Watched Blippi Dinosaur Surprise Egg Hunt | Dinosaurs for Kids,2020-04-09 14:09:49.258
How To Install,Watched How to Install Joplin (manage notes and to-do lists),2020-04-08 23:47:13.231
English for FOOTBALL FANS,Watched Brazilian Clubs Explained,2020-04-08 18:20:59.903
UOL Esporte,Watched MARCELA ELIMINADA NO BBB: VEJA REAÇÕES NO GRUPO DE WHATSAPP DO BEM AMIGOS,2020-04-08 18:15:30.350
NPR Music,Watched King Princess: Tiny Desk (Home) Concert,2020-04-08 18:14:05.151
São Paulo FC,"Watched BOM DIA, TRICOLOR #06 | SPFCTV",2020-04-08 18:13:01.654
UOL Esporte,Watched ROMÁRIO: CRAQUE OU SUPERESTIMADO?,2020-04-08 18:12:35.511
Pato Fu,Watched Pato Fu | Tribunal de Causas Realmente Pequenas #FiqueEmCasa,2020-04-08 18:09:24.388
R7,Watched Aplicativo substitui caderno de papel em caderno virtual,2020-04-08 17:40:31.840
Memórias da Seleção Brasileira,Watched Incrível gol de Roberto Carlos pela Seleção,2020-04-08 16:26:36.255
Jefferson Reishoffer,Watched Flamengo 3x1 Santa Cruz - 1987 - 3º Gol de Zico (Falta),2020-04-08 16:26:20.243
Augusto César Damásio da Fonseca Lessa,Watched A falta perfeita : Neto contra o Flamengo,2020-04-08 16:26:07.765
val roots,Watched Gol salvador de Branco na Copa de 94,2020-04-08 16:25:16.545
Rogerio Ceni Oficial,Watched RC01-SÃO PAULO X SANTOS   FINAL DO CAMPEONATO PAULISTA 2000 GOL 16,2020-04-08 16:25:02.839
Quadro em Branco,Watched um breve texto sobre pornografia,2020-04-08 15:55:23.305
Papo de Musica,"Watched Djonga: ""Até hoje eu não tenho dimensão do meu tamanho""",2020-04-08 12:14:56.128
Pato Fu,Watched Pato Fu - Me Explica (ao vivo),2020-04-08 00:52:44.311
Pato Fu - Topic,Watched Eu (Ao Vivo),2020-04-08 00:33:41.595
theressomethinginthewater,Watched There's Something in the Water Official Trailer,2020-04-07 23:45:16.446
MOV,Watched RESPONDENDO COMENTÁRIOS DE UFÓLOGOS SOBRE O ET DE VARGINHA | FAKE EM NÓIS COM PIRULLA E GILMAR,2020-04-07 18:21:59.769
Porta dos Fundos,Watched PROFECIA,2020-04-07 02:07:14.401
adsense,Watched https://www.youtube.com/watch?v=jNBPmd97BYQ,2020-04-07 02:06:42.180
Lil Jappz,Watched EU TENHO ICE (prod. K. Mendez) (Áudio Original),2020-04-07 02:05:31.721
LegiaoUrbanaVEVO,Watched Pais e Filhos (Ao Vivo),2020-04-07 00:04:17.037
LegiaoUrbanaVEVO,"Watched Orquestra Sinfônica Brasileira, Pitty - Índios (Ao Vivo)",2020-04-06 23:59:36.388
LegiaoUrbanaVEVO,Watched Legião Urbana - Índios,2020-04-06 23:59:14.704
Pato Fu,Watched Pato Fu - Primavera (Cassiano e Sílvio Rochael),2020-04-06 23:55:49.092
Thiago Gravações Apresenta,Watched MC TROIA E DAN VENTURA E MC TOCHA - VAI CARAI - 4K - CLIPE OFICIAL,2020-04-06 23:50:36.647
Daniel AGUIAR CRUZ,Watched Cinderela Baiana Melhor Fala do Cinema Brasileiro EVER,2020-04-06 22:50:26.355
Blippi Toys,Watched Learning with Blippi at the Play Place | Ultimate Playground Compilation,2020-04-06 22:28:25.782
Hora do Faro,"Watched Conheça a história de Cacá e Lulu, dois palhaços que nunca foram ao circo",2020-04-06 21:51:44.764
Hora do Faro,Watched Ayumi aventureira: conheça a garotinha que vive rodeada de animais selvagens,2020-04-06 21:12:29.597
Eu Não Sabia!,Watched 5 FAMÍLIAS QUE TEM ANIMAIS INCOMUNS DE SE TER EM CASA,2020-04-06 21:06:43.269
adsense,Watched https://www.youtube.com/watch?v=fPgUt_t7Utg,2020-04-06 20:52:24.147
RohsalPlayer,Watched BATTLE ROYALE!! +150 DINOSSAUROS!! BATALHA DE GRUPOS | Jurassic World Evolution | B. J (#35) | PT/BR,2020-04-06 20:47:24.226
RohsalPlayer,Watched BATTLE ROYALE! +100 DINOSSAUROS NA ARENA!! | Jurassic World Evolution | B. Jurássica [#26] | (PT/BR),2020-04-06 20:27:50.554
Peppa Pig em Português Brasil - Canal Oficial,Watched Peppa Pig Português Brasil | Compilation 5 | HD | Desenhos Animados,2020-04-06 18:43:34.727
Nick Jr. em Português,Watched PAW Patrol | Pioneiros Filhotes 🐕 | Nick Jr.,2020-04-06 18:06:43.334
Tia Fê & Tio Samuel,Watched JOGO INFANTIL EDUCATIVO COM PATRULHA CANINA #08 | Missão Encontrar | Novelinhas com Tia Fê,2020-04-06 17:55:17.142
adsense,Watched https://www.youtube.com/watch?v=i0twmTB4bfY,2020-04-06 17:23:32.281
Família Paulinho e Toquinho,Watched PAULINHO CIENTISTA COMPLETO 3 - Como Fazer Massinha de Maizena - 54 min de Vídeo para Crianças,2020-04-06 17:11:50.806
Augusto Portugal,Watched Correção de problemas no Google Drive,2020-04-06 16:43:17.177
Família Paulinho e Toquinho,Watched CAIXAS MISTERIOSAS do Desenho DA PATRULHA CANINA E PJ MASKS - 48 MIN de Vídeo para Crianças,2020-04-06 16:23:09.030
Blippi - Educational Videos for Kids,Watched Explore Machines with Blippi | Garbage Trucks and More!,2020-04-06 15:20:00.302
Blippi Toys,Watched Educational Videos for Toddlers with Blippi Toys | 1 Hour of Playground and Animals,2020-04-06 14:00:21.434
Blippi - Educational Videos for Kids,Watched Videos for Toddlers with Blippi | Learn Colors and Numbers for Children,2020-04-06 12:51:11.573
Tese Onze,Watched Fundamentos do ECOSSOCIALISMO | 049,2020-04-06 04:30:12.816
Terry Films,Watched Handmade Candy Making Master / 白糖蔥拉糖技巧 - Taiwanese Street Food,2020-04-05 21:04:04.470
ETTV 이티티비,Watched tornado omelette master / korean street food,2020-04-05 21:01:04.404
Mr. Tfue,Watched 60 Days Build Millionaire Underground Swimming Pool House,2020-04-05 20:48:51.294
adsense,Watched https://www.youtube.com/watch?v=U0NA3LvWJZY,2020-04-05 20:47:51.448
Castro Brothers,Watched NÃO PODE RIR! TODOS contra PAULINHO GOGÓ!,2020-04-05 20:42:02.719
Matt Jordan,Watched Woodturning - A Coffee Mug,2020-04-05 20:36:04.306
TV Quase,Watched FRASES QUE VALEM TAPA NA CARA  |  Genéricos,2020-04-05 20:34:07.167
SmoughTown,Watched Sekiro Lore | The Divine Dragon,2020-04-05 19:44:14.346
IGN Guides,Watched Sekiro: Shadows Die Twice Walkthrough - Fountainhead Palace Great Sakura and the Lake Path (Part 42),2020-04-05 19:43:31.759
Bobsama,Watched Sekiro Shadows Die Twice : How to get Everblossom For Purification Ending,2020-04-05 19:42:41.503
GamersPrey,"Watched Sekiro: Shadows Die Twice - All Endings (Good Ending, Alt Good Ending, Bad Ending, True Ending)",2020-04-05 19:39:48.373
Shirrako,Watched Sekiro Shadows Die Twice - Best Ending (Secret Purification Ending),2020-04-05 19:39:09.078
Curlynaps,Watched Sekiro: Shadows Die Twice - INSANE COMBOS/COMBAT!,2020-04-05 19:38:27.908
Blippi Toys,Watched The Pizza Song for Kids and more | Blippi Videos for Toddlers,2020-04-05 00:20:11.170
Blippi - Educational Videos for Kids,Watched A Blippi Compilation of Educational Videos for Toddlers | Sink or Float and more!,2020-04-04 23:49:24.746
Blippi - Educational Videos for Kids,Watched Blippi Tours the Chocolate Factory | Learn about Food for Children,2020-04-04 23:25:12.678
adsense,Watched a video that has been removed,2020-04-04 22:46:43.730
Disney,Watched Art Attack: Homem Invisible,2020-04-04 22:37:38.556
History Space,Watched Art Attack Disney,2020-04-04 22:23:15.496
Let's play All day,Watched Dame Tu Cosita SPEED CHALLENGE funny fast dance el chombo desafio with Super Heroes Hulk Iron Man S,2020-04-04 22:18:14.550
Liga da Alegria,Watched Uptown funk - Bruno Mars | Liga da Alegria (Coreografia),2020-04-04 22:17:31.882
Super Caminhão - Cidade do Carro,Watched Tom o caminhão de reboque está com o olho vermelho - cidade do carro! desenho animado de carros,2020-04-04 21:42:43.724
Pocoyo Episódios completos PORTUGUÊS,Watched 🏒 POCOYO E NINA - Mil jogos divertidos [ 143 minutos ] | DESENHOS ANIMADOS para crianças,2020-04-04 21:40:24.026
Família Paulinho e Toquinho,Watched PAULINHO CIENTISTA COMPLETO 3 - Como Fazer Massinha de Maizena - 54 min de Vídeo para Crianças,2020-04-04 20:45:26.440
Velhote,Watched Hot Wheels Ultimate Gator Car Wash Playset!,2020-04-04 20:29:37.029
Totoykids,Watched 1 Hora de Vídeo Sara e suas Amigas completo!!! Totoykids,2020-04-04 20:26:19.208
Totoykids,"Watched Sara, Mamãe e Duda fazem um Lava Jato de lavar carro 🚿🛁🚗🚕 de Verdade Totoykids!!! Em Portugues",2020-04-04 20:16:55.186
Em Busca do Vale Encantado em Português,Watched Em Busca Do Vale Encantado | O Vale Da Agua | Compilação de 1 Hora | Desenhos Animados,2020-04-04 20:15:19.763
DUDU e CAROL,Watched BRINQUEDO LAVA RÁPIDO DE CARROS,2020-04-04 20:02:03.468
Luiz F. Chaves,Watched Como calcular a porcentagem de um aumento,2020-04-03 13:39:42.093
Antiga MTV Brasil,Watched Antiga MTV Brasil: Top Top MTV Piores Negociatas / Guns N' Roses Com Marina Person & Léo Madeira,2020-04-03 05:03:05.270
Showlivre,Watched RZO feat. Negra Li - Pirituba (Parte II) | Ao Vivo no Estúdio Showlivre 2014,2020-04-03 04:38:19.863
zwieR.Z.,Watched Linkin Park - Blackout (Remix) Official HD Music Video,2020-04-03 04:37:26.794
charts4life,Watched Linkin Park - Blackout,2020-04-03 04:37:13.592
chaoviful,Watched Linkin Park - Blackout(Live At Madison Square Garden 2011 HD)Legendado Português BR,2020-04-03 04:32:18.944
Linkin Park,Watched Breaking The Habit [Official Music Video] - Linkin Park,2020-04-03 04:28:25.191
Edimar Silva Traduções,Watched Linkin Park - Breaking The Habit (Legendado em PT-BR),2020-04-03 04:25:09.426
01's Music,Watched 【01's Music】Kanye West - Ghost Town (Lyrics/가사),2020-04-03 04:19:37.536
Siel zik-d-1000-grau,Watched RZO   Pirituba Parte 2,2020-04-03 04:18:24.733
Old For This,"Watched Kanye West - Ghost Town feat. 070 Shake, John Legend & Kid Cudi (ye)",2020-04-03 04:18:18.760
Marcus Bone,Watched Sabotage - Um Bom Lugar (Video-Clipe Oficial) 2000,2020-04-03 04:12:37.674
Caique Roberto,Watched Djonga Hat Trick Ao vivo - João Rock 2019,2020-04-03 04:12:18.630
Loja Verse,Watched DJONGA - HAT TRICK (Ao Vivo) - RAP IN CENA,2020-04-03 04:11:11.750
Claudinei Souza F/2 Fotografia BH,Watched DJONGA interpreta HAT-TRICK na Virada Cultural de BH 2019,2020-04-03 04:11:00.388
Mateus Santana,"Watched DJONGA - ABERTURA, MLK 4TR3V1D0, HAT-TRICK - AO VIVO @ AUDIO CLUB",2020-04-03 04:10:47.125
Djonga,Watched Djonga - A Música da Mãe (Clipe Oficial),2020-04-03 04:08:51.706
Djonga,Watched Djonga - Hat-Trick,2020-04-03 04:06:01.745
BRAZA,Watched BRAZA - Segue o Baile,2020-04-03 04:01:53.486
newfeverito,Watched Forfun - Eremita Moderno (Ao Vivo) (HD),2020-04-03 04:01:40.066
Forfun,Watched Forfun - Eremita Moderno (DVD Ao Vivo no Circo Voador),2020-04-03 03:57:54.468
RAP TV,Watched ACERCA | DJONGA #3,2020-04-02 22:20:36.677
Desimpedidos,Watched A volta da CAIXA MISTERIOSA no Fred +10!,2020-04-02 22:10:14.787
CAguileraVEVO,Watched Christina Aguilera - Ain't No Other Man (Official Music Video),2020-04-02 18:13:31.866
browneyes1328,Watched Michael Jackson - Ain't No Other Man,2020-04-02 18:10:25.120
Rolê Gourmet,Watched Lamen De Pobre!,2020-04-02 17:14:43.005
MundoBitaVEVO,Watched Mundo Bita - Natureza Sempre Se Transforma,2020-04-01 23:32:08.603
MundoBitaVEVO,Watched Mundo Bita - Não Existem de Verdade,2020-04-01 23:29:37.629
Mundo Bita,Watched Mundo Bita - Sinto o que Sinto [clipe infantil],2020-04-01 23:26:16.625
Mundo Bita,Watched Mundo Bita - Todos os Povos [clipe infantil],2020-04-01 23:22:36.119
Palavra Cantada Oficial,Watched Palavra Cantada | Pot Pourri Parlendas,2020-04-01 23:20:14.215
Cocomelon - Nursery Rhymes,Watched Baby Shark | CoComelon Nursery Rhymes & Kids Songs,2020-04-01 23:17:49.044
MundoBitaVEVO,Watched Mundo Bita - A Flora ft. Larissa Lisboa,2020-04-01 23:15:00.627
Mundo Bita,Watched Mundo Bita - Nossa Casa [clipe infantil],2020-04-01 23:11:47.490
Cocomelon - Nursery Rhymes,Watched Baa Baa Black Sheep | CoComelon Nursery Rhymes & Kids Songs,2020-04-01 23:09:01.574
MundoBitaVEVO,Watched Mundo Bita - Quebra-Cabeça,2020-04-01 23:01:03.233
Mundo Bita,Watched Mundo Bita - Gostosuras Naturais [clipe infantil],2020-04-01 22:58:07.283
Palavra Cantada Oficial,Watched Palavra Cantada | Tchibum da Cabeça ao Bumbum,2020-04-01 22:55:23.145
MundoBitaVEVO,Watched Mundo Bita - Ciranda das Águas,2020-04-01 22:52:49.536
Mundo Bita,Watched Mundo Bita - O Nosso Relevo,2020-04-01 22:50:07.442
MundoBitaVEVO,Watched Mundo Bita - Pelos Polos,2020-04-01 22:47:35.450
Mundo Bita,"Watched Mundo Bita - Meu, Seu, Nosso [clipe infantil]",2020-04-01 22:42:38.752
Palavra Cantada Oficial,Watched Palavra Cantada | Coletânea Bebezinho e Família | 9 minutos,2020-04-01 22:32:52.446
Palavra Cantada Oficial,Watched Palavra Cantada | Músicos e Dançarinos,2020-04-01 22:29:38.396
MundoBitaVEVO,Watched Mundo Bita - O Parquinho,2020-04-01 22:24:18.926
Galinha Pintadinha,Watched Dona Aranha - Galinha Pintadinha 3 - OFICIAL,2020-04-01 22:21:57.487
Mundo Bita,Watched Mundo Bita - Voa Voa Passarinho [clipe infantil],2020-04-01 22:17:25.261
MundoBitaVEVO,Watched Mundo Bita - Roda Roda,2020-04-01 22:14:36.498
MundoBitaVEVO,Watched Mundo Bita - Vou Desenhar,2020-04-01 22:11:08.770
Mundo Bita,Watched Mundo Bita - Chuva Chove [clipe infantil],2020-04-01 22:07:57.855
Cocomelon - Nursery Rhymes,Watched The More We Get Together | CoComelon Nursery Rhymes & Kids Songs,2020-04-01 22:02:23.437
Mundo Bita,Watched Mundo Bita - Canção pro Universo [clipe infantil],2020-04-01 21:58:46.184
MundoBitaVEVO,Watched Mundo Bita - Massinha,2020-04-01 21:55:44.625
MundoBitaVEVO,Watched Mundo Bita - Vamos Jogar Bola,2020-04-01 21:52:45.750
MundoBitaVEVO,Watched Mundo Bita - A Diferença é o Que nos Une,2020-04-01 21:49:22.674
Mundo Bita,Watched Mundo Bita - É Fogo! [clipe infantil],2020-04-01 21:42:56.822
Mundo Bita,Watched Mundo Bita - Magia das Cores [clipe infantil],2020-04-01 21:39:47.804
Mundo Bita,Watched Mundo Bita - Fundo do Mar [clipe infantil],2020-04-01 21:37:11.733
MundoBitaVEVO,Watched Mundo Bita - Chuá Tchibum,2020-04-01 21:19:49.212
MundoBitaVEVO,Watched Mundo Bita - Troca Roupa,2020-04-01 21:17:05.710
Mundo Bita,Watched Mundo Bita - Viajar pelo Safari [ clipe infantil ],2020-04-01 21:11:06.889
MundoBitaVEVO,Watched Mundo Bita - Eu Quero Ver Você Me Pegar,2020-04-01 21:08:26.233
Mundo Bita,Watched Mundo Bita - Esplêndida Fauna ft. Jr Black [clipe infantil],2020-04-01 21:05:35.231
Snapchat,Watched Using Memories on Snapchat,2020-04-01 20:51:56.654
Mundo Bita,Watched Bita e o Nosso Mundo - Álbum completo,2020-04-01 20:23:09.225
Mundo Bita,Watched Mundo Bita - Fazendinha [clipe infantil],2020-04-01 20:20:53.117
Em Busca do Vale Encantado em Português,Watched Em Busca Do Vale Encantado | Fuga Do Vale | Compilação de 1 Hora | Desenhos Animados,2020-04-01 00:33:53.870
Em Busca do Vale Encantado em Português,Watched Em Busca Do Vale Encantado | O Vale Da Agua | Compilação de 1 Hora | Desenhos Animados,2020-03-31 23:34:47.859
Família Paulinho e Toquinho,Watched Paulinho  Brinca com Pista Elétrica de Carros de Brinquedo,2020-03-31 23:12:35.562
Nghệ Thuật ORIGAMI,Watched ORIGAMI - Hướng dẫn cách gấp con rồng đơn giản #2 - Origami Dragon,2020-03-31 23:10:13.616
Easy Origami,Watched Origami: Tsuru - Instruções em Português BR,2020-03-31 22:46:06.918
Totoykids,Watched Baby Alive minha Boneca Sara Mais de uma Hora de Video Direto!!!,2020-03-31 21:40:25.502
Totoykids,Watched 1 Hora de Vídeo Sara e suas Amigas completo!!! Totoykids,2020-03-31 20:36:51.535
Filmecos Sganzerla,"Watched O Bandido da Luz Vermelha (Rogério Sganzerla, 1968)",2020-03-31 19:02:30.453
Meteoro Brasil,Watched QUEM MANDA NA CNN BRASIL,2020-03-31 16:55:26.968
Snapchat,Watched Using Memories on Snapchat,2020-03-30 01:16:58.877
Cabra CDS Oficial,Watched #BANDA GAROTA MIMADA - O MELHOR DO FORRÓ CD 2019,2020-03-29 21:06:50.225
SO MUSICAS,Watched AS MELHORES DE LEGIÃO URBANA,2020-03-29 21:06:19.582
adsense,Watched a video that has been removed,2020-03-29 18:05:43.604
The Leadership Group,Watched Bluetooth Multiplatform Keyboard GOLDSHIP - TC-1563,2020-03-29 03:50:15.839
Be!Tech,Watched NÃO é UM TECLADO QUALQUER! PRODUZA MUITO MAIS! LOGITECH K780!,2020-03-29 03:49:53.961
Official Dinosaur Train,Watched Troodons and Trains! | Dinosaur Train,2020-03-28 22:18:09.694
Official Dinosaur Train,Watched Best of Dinosaur Train Season 1! | 30+ Minutes of Cartoons for Kids | Dinosaur Train,2020-03-28 21:44:56.822
Official Dinosaur Train,Watched 40+ Minutes of Buddy From Season 1! | Dinosaur Train,2020-03-28 21:02:44.719
Official Dinosaur Train,Watched 30 Minutes of Dinosaur Games for Kids! | Dinosaur Train,2020-03-28 20:30:04.983
Official Dinosaur Train,Watched The Dinosaurs A-Z Challenge! | 20+ Minutes of Cartoons for Kids | Dinosaur Train,2020-03-28 20:07:39.399
Official Dinosaur Train,Watched 1+ Hour of Dinosaur Train! | 1+ Hour of Cartoons For Kids | Dinosaur Train,2020-03-28 19:02:24.138
Moranguinho [Strawberry Shortcake] - WildBrain,Watched Desenhos Animados | Moranguinho 🍓Episódio Completo Especial 🍓 Desenho Animado em Português,2020-03-28 18:10:55.461
WildBrain em Português,Watched LARVA - Babá | 2019 Filme completo | Dos desenhos animados | Cartoons Para Crianças,2020-03-28 17:28:34.198
T-Series Kids Hut,Watched Fairy Tales For Kids - Best English Fairy Tales And Bedtime Story Compilation For Children,2020-03-28 17:21:21.705
T-Series Kids Hut,Watched 11 Best Disney Stories - Disney Princess Stories || Fairy Tales And Bedtime Stories For Kids,2020-03-28 02:30:33.080
AmbaFun,Watched DIY Miniature Stuff for Barbie Dollhouse,2020-03-28 01:57:34.009
Kids Toys and more,Watched Bonecas da Barbie – Trailer dos Sonhos Barbie Mattel Rosa - Barbie Doll House,2020-03-28 01:05:54.586
Dave and Ava - Nursery Rhymes and Baby Songs,"Watched Teddy Bear, Teddy Bear, Turn Around | Nursery Rhymes for Kids and Children | Baby Song Dave and Ava",2020-03-28 00:54:12.468
KidsCamp - Education,Watched Johny Johny Fruit Version + More Nursery Rhymes And Kids Songs by KidsCamp,2020-03-28 00:32:26.615
