,Canal,Nome vídeo,Data
60,Assertiva Soluções,Watched [Employer Branding] Por dentro da Cultura do Ifood - Assertiva Day 2019,2021-07-16 15:28:05.934
61,Nutricionista Patricia Leite,Watched Benefícios Maca Peruana - Para Que Serve e Como Tomar [EFEITOS COLATERAIS?],2021-07-16 15:05:46.031
62,Dr. Dayan Siebra,Watched SAIBA TUDO SOBRE O PÓ DE GUARANÁ,2021-07-16 14:58:52.502
63,Vitrine Revista Londrina,Watched Benefícios do pó de guaraná e dúvidas sanadas com o Geriatra  (30/06),2021-07-16 14:54:54.625
64,Vida Melhor,Watched Conheça os benefícios do pó de guaraná!,2021-07-16 14:33:38.332
65,iFood,Watched iFood para Restaurantes | China in Box,2021-07-16 01:09:23.007
66,iFood,Watched Faça Seu Pedido no App iFood,2021-07-16 01:09:17.654
67,iFood,Watched Faça Seu Pedido no App iFood,2021-07-16 01:09:08.466
68,iFood,Watched Faça Seu Pedido no App iFood,2021-07-16 01:09:01.502
69,iFood,Watched iFood para Restaurantes | Holy Burger,2021-07-16 01:08:40.303
70,iFood,Watched Faça Seu Pedido no App iFood,2021-07-16 01:08:27.976
71,iFood,Watched iFood para Restaurantes | American Burger,2021-07-16 01:07:30.580
72,iFood,Watched Faça Seu Pedido no App iFood,2021-07-16 01:07:09.116
73,iFood,Watched Faça Seu Pedido no App iFood,2021-07-16 01:07:01.870
74,iFood,Watched iFood para Restaurantes | Woking,2021-07-16 01:04:52.039
75,iFood,Watched Food Ball League,2021-07-16 01:04:22.142
76,Caique Bitencourt,Watched ASSINAMOS O CONTRATO DA CASA NOVA!! 🏠🙌🏻 (Finalmente conseguimos),2021-07-16 01:03:55.318
77,Marllus Gustavo Neves,Watched Coeficiente de correlação de postos de Spearman,2021-07-15 19:49:22.495
78,Estatística para Concurso,Watched Coeficiente de Correlação de Spearman - Estatística Não Paramétrica,2021-07-15 19:39:12.332
79,Adriana Cubas,Watched Como Responder PERGUNTAS DIFÍCEIS NA ENTREVISTA DE EMPREGO * Metodologia STAR,2021-07-14 16:15:33.866
80,Stack,Watched O que é scikit-learn ?  - A biblioteca mais utilizada em tarefas de Machine Learning.,2021-07-14 16:05:44.596
81,Alura Cursos Online,Watched O que é Machine Learning? #HipstersPontoTube,2021-07-14 15:47:44.174
82,iFood,Watched Food Ball League,2021-07-14 05:18:40.733
83,iFood,Watched Food Ball League,2021-07-14 05:17:38.872
84,iFood,Watched Food Ball League,2021-07-14 05:16:38.472
85,iFood,Watched Food Ball League,2021-07-14 05:15:38.084
86,iFood,Watched iFood por Bela Gil,2021-07-14 05:14:40.777
87,iFood,Watched iFood por Porchat,2021-07-14 05:14:20.345
88,iFood,Watched Pra qualquer fome | Bastidores,2021-07-14 05:09:44.644
89,iFood,Watched iFood por Porchat,2021-07-14 05:09:28.184
90,iFood,Watched iFood por Porchat,2021-07-14 05:08:57.799
91,iFood,Watched Pra qualquer fome,2021-07-14 05:08:42.329
92,iFood,Watched iFood por Preta Gil,2021-07-14 05:08:14.978
93,iFood,Watched iFood por Bela Gil,2021-07-14 05:07:44.533
94,iFood,Watched iFood por Bela Gil,2021-07-14 05:07:13.974
95,iFood,Watched Pra qualquer fome,2021-07-14 05:06:43.372
96,iFood,Watched iFood por Maurício Manieri,2021-07-14 05:06:16.870
97,iFood,Watched iFood por Maurício Manieri,2021-07-14 05:05:46.321
98,iFood,Watched iFood por Porchat,2021-07-14 05:05:40.482
99,iFood,Watched iFood | Namorados,2021-07-14 05:05:19.091
100,Invento na Hora,Watched MINHA MÃE VEIO CONHECER A CASA NOVA,2021-07-14 02:25:34.805
101,Tuy e Biel,Watched Ciúmes no relacionamento aberto e ciúmes no ménage - Como lidar?,2021-07-14 02:25:08.584
102,CFBCursos,Watched Expressões Regulares - RegEx Sub - Curso de Python #43,2021-07-13 15:18:46.623
103,iFood,Watched iFood | Namorados,2021-07-13 14:44:47.779
104,iFood,Watched iFood | Namorados,2021-07-13 14:44:32.207
105,iFood,Watched iFood | Namorados,2021-07-13 14:44:01.746
106,iFood,Watched iFood | Namorados,2021-07-13 14:43:31.585
107,iFood,Watched iFood | Fácil de usar,2021-07-13 14:43:08.282
108,iFood,Watched iFood | Mais de mil restaurantes no iFood,2021-07-13 14:42:11.230
